,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4431,0.359,0.367,9,-7.684,1,0.0335,0.738,1.43e-06,0.0736,0.104,83.331,audio_features,2pMPWE7PJH1PizfgGRMnR9,spotify:track:2pMPWE7PJH1PizfgGRMnR9,https://api.spotify.com/v1/tracks/2pMPWE7PJH1PizfgGRMnR9,https://api.spotify.com/v1/audio-analysis/2pMPWE7PJH1PizfgGRMnR9,175453,4
4432,0.63,0.475,7,-9.016,1,0.0278,0.0879,0.0,0.219,0.623,127.975,audio_features,5U1VdAH83M18BhlBJpmKEB,spotify:track:5U1VdAH83M18BhlBJpmKEB,https://api.spotify.com/v1/tracks/5U1VdAH83M18BhlBJpmKEB,https://api.spotify.com/v1/audio-analysis/5U1VdAH83M18BhlBJpmKEB,203887,4
4433,0.594,0.682,0,-8.858,1,0.0487,0.051,4.56e-05,0.0919,0.76,82.487,audio_features,4d0d2llNcQIHmaCgYTrODQ,spotify:track:4d0d2llNcQIHmaCgYTrODQ,https://api.spotify.com/v1/tracks/4d0d2llNcQIHmaCgYTrODQ,https://api.spotify.com/v1/audio-analysis/4d0d2llNcQIHmaCgYTrODQ,253293,4
4434,0.382,0.855,9,-8.056,1,0.0636,0.0155,0.0,0.0399,0.962,187.805,audio_features,4aKMvmxQgX7J766G4pFlyh,spotify:track:4aKMvmxQgX7J766G4pFlyh,https://api.spotify.com/v1/tracks/4aKMvmxQgX7J766G4pFlyh,https://api.spotify.com/v1/audio-analysis/4aKMvmxQgX7J766G4pFlyh,114347,4
4435,0.775,0.517,11,-8.186,1,0.138,0.121,0.014,0.609,0.614,104.01,audio_features,2D9aPhceBfcp7sVIcmFMZS,spotify:track:2D9aPhceBfcp7sVIcmFMZS,https://api.spotify.com/v1/tracks/2D9aPhceBfcp7sVIcmFMZS,https://api.spotify.com/v1/audio-analysis/2D9aPhceBfcp7sVIcmFMZS,246952,4
4436,0.31,0.83,1,-8.527,1,0.0482,1.53e-06,0.146,0.137,0.617,170.568,audio_features,54UFDHWI2q7WHfrGbSNWph,spotify:track:54UFDHWI2q7WHfrGbSNWph,https://api.spotify.com/v1/tracks/54UFDHWI2q7WHfrGbSNWph,https://api.spotify.com/v1/audio-analysis/54UFDHWI2q7WHfrGbSNWph,228053,4
4437,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,audio_features,2M2WJ7gBlcKNxdhyfPp9zY,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/tracks/2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/audio-analysis/2M2WJ7gBlcKNxdhyfPp9zY,220560,4
4438,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,4aVuWgvD0X63hcOCnZtNFA,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,235547,4
4439,0.576,0.675,2,-9.088,1,0.0289,0.000512,0.0725,0.0652,0.366,114.863,audio_features,374buquHBf8KY9edm9SBtG,spotify:track:374buquHBf8KY9edm9SBtG,https://api.spotify.com/v1/tracks/374buquHBf8KY9edm9SBtG,https://api.spotify.com/v1/audio-analysis/374buquHBf8KY9edm9SBtG,197107,4
4440,0.605,0.349,3,-13.719,1,0.096,0.238,0.0,0.0753,0.6,99.362,audio_features,7JEnT0uFWcwZqNZWv7hC9N,spotify:track:7JEnT0uFWcwZqNZWv7hC9N,https://api.spotify.com/v1/tracks/7JEnT0uFWcwZqNZWv7hC9N,https://api.spotify.com/v1/audio-analysis/7JEnT0uFWcwZqNZWv7hC9N,168345,4
4441,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,audio_features,0n4bITAu0Y0nigrz3MFJMb,spotify:track:0n4bITAu0Y0nigrz3MFJMb,https://api.spotify.com/v1/tracks/0n4bITAu0Y0nigrz3MFJMb,https://api.spotify.com/v1/audio-analysis/0n4bITAu0Y0nigrz3MFJMb,263827,4
4442,0.704,0.71,4,-10.452,0,0.0588,0.0215,0.216,0.0832,0.848,113.25,audio_features,5uhxoEaWGasTiGwLV6azhH,spotify:track:5uhxoEaWGasTiGwLV6azhH,https://api.spotify.com/v1/tracks/5uhxoEaWGasTiGwLV6azhH,https://api.spotify.com/v1/audio-analysis/5uhxoEaWGasTiGwLV6azhH,288080,4
4443,0.279,0.346,7,-12.609,1,0.0444,0.239,0.0,0.0798,0.309,162.506,audio_features,3lvAzKmRH8vzXQ4xm19v78,spotify:track:3lvAzKmRH8vzXQ4xm19v78,https://api.spotify.com/v1/tracks/3lvAzKmRH8vzXQ4xm19v78,https://api.spotify.com/v1/audio-analysis/3lvAzKmRH8vzXQ4xm19v78,191227,4
4444,0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,audio_features,0sCeNwt8xRCMR4NhKpMyBe,spotify:track:0sCeNwt8xRCMR4NhKpMyBe,https://api.spotify.com/v1/tracks/0sCeNwt8xRCMR4NhKpMyBe,https://api.spotify.com/v1/audio-analysis/0sCeNwt8xRCMR4NhKpMyBe,333947,4
4445,0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,audio_features,19Ym5Sg0YyOCa6ao21bdoG,spotify:track:19Ym5Sg0YyOCa6ao21bdoG,https://api.spotify.com/v1/tracks/19Ym5Sg0YyOCa6ao21bdoG,https://api.spotify.com/v1/audio-analysis/19Ym5Sg0YyOCa6ao21bdoG,264907,4
4446,0.39,0.266,11,-14.663,0,0.0398,0.518,0.0156,0.218,0.253,81.233,audio_features,6jXzkgISP6UfMEEaKkxWJw,spotify:track:6jXzkgISP6UfMEEaKkxWJw,https://api.spotify.com/v1/tracks/6jXzkgISP6UfMEEaKkxWJw,https://api.spotify.com/v1/audio-analysis/6jXzkgISP6UfMEEaKkxWJw,567973,4
