,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,speechiness_binned,danceability_binned,instrumentalness_binned
981,0.45399999999999996,0.7879999999999999,6,-6.747999999999999,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,audio_features,3oEkrIfXfSh9zGnE7eBzSV,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/tracks/3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/audio-analysis/3oEkrIfXfSh9zGnE7eBzSV,294720,4,0,1,0
982,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.5379999999999999,0.73,135.63299999999998,audio_features,5uES1C2NgkdrNHiCwf9jRr,spotify:track:5uES1C2NgkdrNHiCwf9jRr,https://api.spotify.com/v1/tracks/5uES1C2NgkdrNHiCwf9jRr,https://api.spotify.com/v1/audio-analysis/5uES1C2NgkdrNHiCwf9jRr,158040,4,0,1,0
983,0.28800000000000003,0.62,2,-10.103,1,0.0428,0.24,0.0,0.0882,0.617,94.445,audio_features,6o21UfW2RHkzzleZGLfFpK,spotify:track:6o21UfW2RHkzzleZGLfFpK,https://api.spotify.com/v1/tracks/6o21UfW2RHkzzleZGLfFpK,https://api.spotify.com/v1/audio-analysis/6o21UfW2RHkzzleZGLfFpK,150627,4,0,0,0
984,0.457,0.88,9,-8.154,1,0.0362,0.0486,0.141,0.16,0.8270000000000001,91.24600000000001,audio_features,5MsJ67JkQ5EReZw6MJZgpm,spotify:track:5MsJ67JkQ5EReZw6MJZgpm,https://api.spotify.com/v1/tracks/5MsJ67JkQ5EReZw6MJZgpm,https://api.spotify.com/v1/audio-analysis/5MsJ67JkQ5EReZw6MJZgpm,279320,4,0,1,0
985,0.7859999999999999,0.418,9,-11.115,1,0.0432,0.218,0.00015800000000000002,0.134,0.94,119.101,audio_features,62r1CS9zL1FL5Ilb7hLX7n,spotify:track:62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/tracks/62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/audio-analysis/62r1CS9zL1FL5Ilb7hLX7n,225373,4,0,2,0
986,0.527,0.48,4,-9.61,1,0.027999999999999997,0.33399999999999996,0.0,0.0702,0.706,139.388,audio_features,6EHuOufBeL6vk3TvVJB5qo,spotify:track:6EHuOufBeL6vk3TvVJB5qo,https://api.spotify.com/v1/tracks/6EHuOufBeL6vk3TvVJB5qo,https://api.spotify.com/v1/audio-analysis/6EHuOufBeL6vk3TvVJB5qo,120853,4,0,1,0
987,0.39399999999999996,0.0406,9,-23.179000000000002,1,0.044000000000000004,0.968,0.0453,0.0976,0.2,116.117,audio_features,2P9nh9pTK96dE0b6NBbTSs,spotify:track:2P9nh9pTK96dE0b6NBbTSs,https://api.spotify.com/v1/tracks/2P9nh9pTK96dE0b6NBbTSs,https://api.spotify.com/v1/audio-analysis/2P9nh9pTK96dE0b6NBbTSs,198560,1,0,1,0
988,0.523,0.341,4,-14.034,1,0.0388,0.313,0.00011399999999999999,0.621,0.355,77.487,audio_features,5dFoWIiJ2814hRwMYDcFiU,spotify:track:5dFoWIiJ2814hRwMYDcFiU,https://api.spotify.com/v1/tracks/5dFoWIiJ2814hRwMYDcFiU,https://api.spotify.com/v1/audio-analysis/5dFoWIiJ2814hRwMYDcFiU,313373,4,0,1,0
989,0.23399999999999999,0.693,0,-8.277000000000001,1,0.0408,2.8199999999999998e-05,0.899,0.442,0.541,106.93299999999999,audio_features,48TNLcToLs8DWkdj5vYdiW,spotify:track:48TNLcToLs8DWkdj5vYdiW,https://api.spotify.com/v1/tracks/48TNLcToLs8DWkdj5vYdiW,https://api.spotify.com/v1/audio-analysis/48TNLcToLs8DWkdj5vYdiW,181320,4,0,0,2
990,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44e-06,0.07200000000000001,0.531,115.71,audio_features,2FkCjtQ1lYsf71s2FAS8hE,spotify:track:2FkCjtQ1lYsf71s2FAS8hE,https://api.spotify.com/v1/tracks/2FkCjtQ1lYsf71s2FAS8hE,https://api.spotify.com/v1/audio-analysis/2FkCjtQ1lYsf71s2FAS8hE,160667,3,0,1,0
991,0.654,0.929,1,-5.906000000000001,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,audio_features,6KTv0Z8BmVqM7DPxbGzpVC,spotify:track:6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/tracks/6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/audio-analysis/6KTv0Z8BmVqM7DPxbGzpVC,168840,4,0,1,0
992,0.6659999999999999,0.239,5,-13.245,1,0.0403,0.991,0.9470000000000001,0.10400000000000001,0.49200000000000005,116.054,audio_features,06MbYREPut224KHBRjyiYM,spotify:track:06MbYREPut224KHBRjyiYM,https://api.spotify.com/v1/tracks/06MbYREPut224KHBRjyiYM,https://api.spotify.com/v1/audio-analysis/06MbYREPut224KHBRjyiYM,197280,4,0,2,2
993,0.878,0.951,7,-5.077,1,0.069,0.0317,0.544,0.0614,0.607,111.334,audio_features,2nWHzbBWBOePUvAImQv2So,spotify:track:2nWHzbBWBOePUvAImQv2So,https://api.spotify.com/v1/tracks/2nWHzbBWBOePUvAImQv2So,https://api.spotify.com/v1/audio-analysis/2nWHzbBWBOePUvAImQv2So,325133,4,0,2,1
994,0.537,0.414,2,-7.952000000000001,1,0.0404,0.218,2.1000000000000002e-06,0.10300000000000001,0.45899999999999996,117.101,audio_features,75hwtYcghca6YKW4i6C6fP,spotify:track:75hwtYcghca6YKW4i6C6fP,https://api.spotify.com/v1/tracks/75hwtYcghca6YKW4i6C6fP,https://api.spotify.com/v1/audio-analysis/75hwtYcghca6YKW4i6C6fP,374653,4,0,1,0
995,0.5429999999999999,0.715,2,-8.89,1,0.0356,0.0192,0.0,0.256,0.46799999999999997,124.01100000000001,audio_features,6LbbHFEajG9e4m0G3L47c4,spotify:track:6LbbHFEajG9e4m0G3L47c4,https://api.spotify.com/v1/tracks/6LbbHFEajG9e4m0G3L47c4,https://api.spotify.com/v1/audio-analysis/6LbbHFEajG9e4m0G3L47c4,180943,4,0,1,0
996,0.693,0.29,8,-17.500999999999998,1,0.0334,0.706,1.49e-05,0.13699999999999998,0.92,121.795,audio_features,7cNRqg0lbiqBaGeOlA4AEU,spotify:track:7cNRqg0lbiqBaGeOlA4AEU,https://api.spotify.com/v1/tracks/7cNRqg0lbiqBaGeOlA4AEU,https://api.spotify.com/v1/audio-analysis/7cNRqg0lbiqBaGeOlA4AEU,157173,4,0,2,0
997,0.7759999999999999,0.871,5,-11.107999999999999,0,0.0519,0.00294,0.0129,0.0598,0.57,103.249,audio_features,3yO1OjqT59JyjHaQZcCYDX,spotify:track:3yO1OjqT59JyjHaQZcCYDX,https://api.spotify.com/v1/tracks/3yO1OjqT59JyjHaQZcCYDX,https://api.spotify.com/v1/audio-analysis/3yO1OjqT59JyjHaQZcCYDX,241773,4,0,2,0
998,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.49400000000003,audio_features,0XnhQGfqfi5CnZXcONJuI5,spotify:track:0XnhQGfqfi5CnZXcONJuI5,https://api.spotify.com/v1/tracks/0XnhQGfqfi5CnZXcONJuI5,https://api.spotify.com/v1/audio-analysis/0XnhQGfqfi5CnZXcONJuI5,150907,4,0,0,0
999,0.9129999999999999,0.498,2,-8.759,1,0.0376,0.0528,0.0033399999999999997,0.0593,0.716,111.77600000000001,audio_features,5R1OrIp58SRUTkRUeIjghA,spotify:track:5R1OrIp58SRUTkRUeIjghA,https://api.spotify.com/v1/tracks/5R1OrIp58SRUTkRUeIjghA,https://api.spotify.com/v1/audio-analysis/5R1OrIp58SRUTkRUeIjghA,452400,4,0,2,0
1000,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.9520000000000001,106.93799999999999,audio_features,4pNiE4LCVV74vfIBaUHm1b,spotify:track:4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/audio-analysis/4pNiE4LCVV74vfIBaUHm1b,232760,4,0,1,0
